,Score,LineA,LineB
Dallas Mavericks - San Antonio Spurs,91:97,220,-256
Houston Rockets - Toronto Raptors,113:129,-256,218
Brooklyn Nets - Boston Celtics,102:109,224,-263
Golden State Warriors - Orlando Magic,110:100,-769,603
Los Angeles Clippers - Philadelphia 76ers,105:109,-130,114
Portland Trail Blazers - Denver Nuggets,99:82,-127,112
Phoenix Suns - Los Angeles Lakers,93:100,-114,-101
Utah Jazz - Minnesota Timberwolves,98:109,129,-147
Milwaukee Bucks - Memphis Grizzlies,110:103,-154,136
New Orleans Pelicans - Atlanta Hawks,106:105,-400,334
New York Knicks - Cleveland Cavaliers,101:104,185,-217
Washington Wizards - Sacramento Kings,110:92,-667,522
Oklahoma City Thunder - Dallas Mavericks,112:99,-556,428
Indiana Pacers - Houston Rockets,95:118,139,-161
Detroit Pistons - Miami Heat,112:103,-132,114
Boston Celtics - Toronto Raptors,95:94,138,-159
Denver Nuggets - Orlando Magic,125:107,-370,303
Phoenix Suns - Minnesota Timberwolves,118:110,388,-500
Utah Jazz - Brooklyn Nets,114:106,-286,238
Dallas Mavericks - Cleveland Cavaliers,104:111,202,-238
Golden State Warriors - Philadelphia 76ers,135:114,-1000,689
Milwaukee Bucks - Los Angeles Lakers,98:90,-250,211
San Antonio Spurs - Chicago Bulls,133:94,-556,434
Houston Rockets - Memphis Grizzlies,111:96,-270,233
New York Knicks - Sacramento Kings,118:91,-256,219
New Orleans Pelicans - Los Angeles Clippers,111:103,-233,197
Washington Wizards - Atlanta Hawks,113:94,-526,401
Portland Trail Blazers - Brooklyn Nets,97:101,-385,316
Oklahoma City Thunder - Los Angeles Clippers,120:111,-213,184
Phoenix Suns - Orlando Magic,112:128,142,-161
San Antonio Spurs - Milwaukee Bucks,87:94,-192,167
Utah Jazz - Miami Heat,74:84,-147,127
Chicago Bulls - Indiana Pacers,87:105,134,-154
Boston Celtics - Charlotte Hornets,90:87,-147,127
Detroit Pistons - Atlanta Hawks,111:104,-333,277
Denver Nuggets - Oklahoma City Thunder,102:94,110,-127
Sacramento Kings - Philadelphia 76ers,109:108,204,-238
Houston Rockets - Cleveland Cavaliers,117:113,-213,185
